Country Name,Country Code,Series,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Ukraine,UKR,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,73.129997253418,73.5400009155273,72.5100021362305,72.1500015258789,72.9256973266602
United Kingdom,GBR,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,83.6878967285156,83.7642974853516,83.7707977294922,83.8199996948242,83.9393005371094
